Age,Male,Female
0,67363,63818
1,70718,67865
2,72306,69477
3,74470,71591
4,76220,73046
5,78641,75109
6,79225,75632
7,78456,74635
8,77892,74693
9,78630,75396
10,80469,76215
11,82584,78400
12,84113,80517
13,87242,83991
14,87358,84281
15,86609,83151
16,86977,82610
17,88142,83805
18,85186,79753
19,82654,78621
20,84243,81087
21,83770,80823
22,81990,79800
23,81979,79189
24,82143,80544
25,82985,81317
26,84825,83672
27,86666,85047
28,87636,86211
29,88416,87954
30,89012,88040
31,89109,87514
32,86869,84951
33,85902,84552
34,85822,84030
35,86839,84644
36,87552,85453
37,85675,83961
38,86649,85433
39,86922,85635
40,85921,84540
41,86292,84919
42,82521,81914
43,80957,79928
44,79985,79109
45,77030,76236
46,77699,77062
47,75844,75696
48,76571,76729
49,80540,80393
50,84874,84588
51,83218,83055
52,79915,79763
53,78413,78580
54,78525,78964
55,79314,79983
56,81856,83110
57,83268,84771
58,83217,85187
59,83602,85845
60,83465,86387
61,81969,85113
62,79937,83735
63,78741,82868
64,76483,81332
65,72207,77839
66,70071,76281
67,66573,72965
68,63063,69838
69,60166,67196
70,56351,64332
71,53021,61054
72,50619,59188
73,49000,57495
74,51271,59982
75,35363,42916
76,33263,41210
77,32148,40355
78,32287,41548
79,27316,36174
80,23921,32279
81,21245,29644
82,19361,27725
83,17936,26185
84,15570,23314
85+,82492,156891
